Company Name,Sanctions Program,Country,Risk Details
AL-HARAMAIN : PAKISTAN BRANCH,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
AL-HARAMAIN : INDONESIA BRANCH,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
AL-HARAMAIN : KENYA BRANCH,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
AL-HARAMAIN : TANZANIA BRANCH,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
"2904977 CANADA, INC.",CUBA,CUBA,
CORPORACION CIMEX S.A.,CUBA,CUBA,and all other locations worldwide.
CUBANACAN GROUP,CUBA,CUBA,
CUBANACAN INTERNATIONAL B.V,CUBA,Netherlands,Registration ID 27134614 (Netherlands).
CUBANACAN U.K. LIMITED,CUBA,United Kingdom,Registration ID 2720485 (United Kingdom).
HAVANATUR S.A.,CUBA,Argentina,C.U.I.T. 30-68074603-2 (Argentina).
HAVANATUR BAHAMAS LTD.,CUBA,CUBA,
HAVANATUR CHILE S.A.,CUBA,CUBA,
LA COMPANIA TIENDAS UNIVERSO S.A.,CUBA,CUBA,
FUNDACION PARA LA PAZ DE CORDOBA,SDNTK,Colombia,NIT # 830054536-9 (Colombia).
HOLA SUN HOLIDAYS LIMITED,CUBA,CUBA,
AL WASEL AND BABEL GENERAL TRADING LLC,IRAQ2,IRAQ2,
"AL-BASHAIR TRADING COMPANY, LTD",IRAQ2,IRAQ2,
